segment,method,n,accuracy,c2w_risk_n,c2w_count,c2w_rate,both_wrong_n,w2c_count,w2c_rate,oracle_possible
after_120,pac_math_independent_only,760,0.22236842105263158,248,79,0.3185483870967742,512,0,0.0,0.5092105263157894
after_120,pac_math_pair_topic_stage,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_pair_topic_stage_guard,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_pair_topic_stage_support_sum,760,0.3526315789473684,248,43,0.17338709677419356,512,63,0.123046875,0.5092105263157894
after_120,pac_math_router_accuracy,760,0.4,248,49,0.1975806451612903,512,105,0.205078125,0.5092105263157894
after_120,pac_math_router_balanced,760,0.4026315789473684,248,48,0.1935483870967742,512,106,0.20703125,0.5092105263157894
after_120,pac_math_router_safety,760,0.38026315789473686,248,41,0.16532258064516128,512,82,0.16015625,0.5092105263157894
after_120,pac_math_safety_first,760,0.3815789473684211,248,54,0.21774193548387097,512,96,0.1875,0.5092105263157894
after_120,pac_math_stage_gate,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_utility,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,single_A,760,0.21710526315789475,248,83,0.3346774193548387,512,0,0.0,0.5092105263157894
after_120,single_B,760,0.21447368421052632,248,85,0.34274193548387094,512,0,0.0,0.5092105263157894
after_120,stateless_debate,760,0.38552631578947366,248,54,0.21774193548387097,512,99,0.193359375,0.5092105263157894
